stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
785,00101-1,"Kakumäe",,59.45914,24.57318,,,,785
786,00102-1,"Kakumäe",,59.45969,24.57290,,,,786
796,00111-1,"Kakumäe tee",,59.44205,24.59492,,,,796
797,00112-1,"Kakumäe tee",,59.44292,24.59407,,,,797
794,00124-1,"Landi",,59.44871,24.59005,,,,794
795,00110-1,"Landi",,59.44878,24.59003,,,,795
133437,00130-1,"Räime",,59.44719,24.59120,,,,4138
133438,00131-1,"Räime",,59.44676,24.59104,,,,4139
787,00103-1,"Soolahe tee",,59.45573,24.57782,,,,787
788,00104-1,"Soolahe tee",,59.45617,24.57740,,,,788
791,00107-1,"Sooranna tee",,59.45142,24.58467,,,,791
792,00108-1,"Sooranna tee",,59.45193,24.58391,,,,792
789,00105-1,"Teeotsa",,59.45371,24.58077,,,,789
790,00106-1,"Teeotsa",,59.45377,24.58070,,,,790
133434,00127-1,"Tõnu",,59.43978,24.59749,,,,4135
133435,00128-1,"Tõnu",,59.43934,24.59772,,,,4136
798,00113-1,"Vismeistri",,59.43612,24.60118,,,,798
133433,00126-1,"Vismeistri",,59.43648,24.60096,,,,4134
141512,00307-2,"Haabersti ring",,59.42415,24.64332,,,,5879
141513,00307-3,"Haabersti ring",,59.42423,24.64294,,,,5880
141515,00602-2,"Haabersti ring",,59.42394,24.64250,,,,5882
813,00306-1,"Sõba",,59.42655,24.63247,,,,813
819,00601-1,"Sõba",,59.42645,24.63231,,,,819
139007,02001-1,"Kotermaa",,59.40461,24.61551,,,,172
139008,02002-1,"Kotermaa",,59.40517,24.61643,,,,5736
142467,02003-1,"Moonalao",,59.40267,24.61327,,,,5924
142468,02004-1,"Moonalao",,59.40249,24.61289,,,,5925
793,00109-1,"Landi",,59.44889,24.59053,,,,793
812,00305-1,"Tanuma",,59.42787,24.63318,,,,812
133447,00140-1,"Mõisa",,59.42747,24.65513,,,,4148
821,00701-1,"Haabersti",,59.42370,24.64863,,,,821
141510,00308-2,"Haabersti",,59.42478,24.65077,,,,5877
141511,00308-3,"Haabersti",,59.42469,24.65038,,,,5878
141664,00701-2,"Haabersti",,59.42380,24.64901,,,,5885
1126,08601-1,"Humala",,59.42953,24.69245,,,,1126
1127,08602-1,"Humala",,59.42987,24.69144,,,,1127
840,01602-1,"Järvekalda",,59.40760,24.62296,,,,840
841,01603-1,"Järvekalda",,59.40767,24.62207,,,,841
842,01604-1,"Järveotsa tee",,59.40907,24.62967,,,,842
843,01605-1,"Järveotsa tee",,59.40877,24.62813,,,,843
1128,08701-1,"Looga",,59.42778,24.67261,,,,1128
1130,08801-1,"Looga",,59.42822,24.67334,,,,1130
1129,08702-1,"Mustjõe",,59.42868,24.68091,,,,1129
1131,08802-1,"Mustjõe",,59.42894,24.67944,,,,1131
9477,21586-1,"Paemurru",,59.39895,24.60296,,,,9477
9478,21587-1,"Paemurru",,59.39930,24.60462,,,,9478
1110,07901-1,"Pirni",,59.42929,24.69814,,,,1110
1111,07902-1,"Pirni",,59.42945,24.69915,,,,1111
816,00309-1,"Zoo",,59.42643,24.65805,,,,816
822,00702-1,"Zoo",,59.42621,24.65889,,,,822
4724,23329-1,"Uuemäe",,59.39537,24.59334,,,,4724
4725,23330-1,"Uuemäe",,59.39595,24.59567,,,,4725
817,00401-1,"Pikaliiva",,59.42820,24.62542,,,,817
818,00501-1,"Pikaliiva",,59.42797,24.62587,,,,818
3389,00120-1,"Printsu tee",,59.43018,24.61169,,,,3389
3390,00121-1,"Printsu tee",,59.42984,24.61297,,,,3390
13786,00403-1,"Tähistaeva",,59.42877,24.62088,,,,13786
13787,00404-1,"Tähistaeva",,59.42926,24.61840,,,,13787
150066,00144-1,"Rannaniidu",,59.43684,24.56754,,,,6268
810,00303-1,"Hälli",,59.43435,24.62926,,,,810
133443,00136-1,"Hälli",,59.43337,24.63090,,,,4144
133436,00129-1,"Kakumäe tee",,59.44269,24.59528,,,,4137
799,00114-1,"Lesta",,59.44681,24.60446,,,,799
133439,00132-1,"Lesta",,59.44702,24.60528,,,,4140
805,00201-1,"Merirahu",,59.44492,24.61246,,,,805
133440,00133-1,"Merirahu",,59.44448,24.61315,,,,4141
806,00202-1,"Paljandi",,59.44007,24.62310,,,,806
133441,00134-1,"Paljandi",,59.43934,24.62418,,,,4142
811,00304-1,"Rocca al Mare",,59.43120,24.63725,,,,811
133444,00137-1,"Rocca al Mare",,59.43087,24.63869,,,,4145
133445,00138-1,"Rocca al Mare kool",,59.43026,24.65105,,,,4146
133446,00139-1,"Rocca al Mare kool",,59.43018,24.65139,,,,4147
807,00203-1,"Õismäe raba",,59.43722,24.62730,,,,807
133442,00135-1,"Õismäe raba",,59.43693,24.62726,,,,4143
800,00115-1,"Tiskre",,59.43821,24.57210,,,,800
4056,00122-1,"Alemaa",,59.43551,24.61289,,,,4056
133432,00125-1,"Alemaa",,59.43603,24.61159,,,,4133
13430,00311-1,"Pikaliiva",,59.42825,24.62769,,,,13430
133430,00300-1,"Pikaliiva",,59.42917,24.62579,,,,4131
808,00301-1,"Tuleraua",,59.43140,24.62213,,,,808
133431,00299-1,"Tuleraua",,59.43189,24.62175,,,,4132
823,00801-1,"Karikakra",,59.41683,24.65260,,,,823
824,00802-1,"Karikakra",,59.41821,24.65122,,,,824
837,01401-1,"Kullerkupu",,59.41122,24.64768,,,,837
848,01701-1,"Kullerkupu",,59.41102,24.64775,,,,848
830,01001-1,"Meelespea",,59.41563,24.63972,,,,830
831,01002-1,"Meelespea",,59.41646,24.63966,,,,831
141104,01402-1,"Meistri",,59.41553,24.65547,,,,5846
141105,01403-1,"Meistri",,59.41542,24.65624,,,,5847
835,01301-1,"Nurmenuku",,59.41328,24.65295,,,,835
836,01302-1,"Nurmenuku",,59.41402,24.65407,,,,836
139068,01004-1,"Päevalille",,59.42046,24.64684,,,,240
833,01102-1,"Rukkilille",,59.41375,24.64023,,,,833
834,01103-1,"Rukkilille",,59.41339,24.64028,,,,834
825,00901-1,"Sinilille",,59.41944,24.64545,,,,825
826,00911-1,"Sinilille",,59.41945,24.64590,,,,826
827,00902-1,"Sinilille",,59.41922,24.64261,,,,827
828,00903-1,"Sinilille",,59.42043,24.64478,,,,828
13011,00902-2,"Sinilille",,59.41980,24.64398,,,,13011
9659,00604-1,"Sõudebaasi",,59.41650,24.63590,,,,9659
9660,01003-1,"Sõudebaasi",,59.41743,24.63693,,,,9660
832,01606-1,"Väike-Õismäe",,59.41281,24.63785,,,,832
844,01101-1,"Väike-Õismäe",,59.41224,24.63969,,,,844
13089,01104-1,"Väike-Õismäe parkla",,59.41306,24.63436,,,,13089
13090,01610-1,"Väike-Õismäe parkla",,59.41275,24.63655,,,,13090
4334,21219-1,"Estonia",,59.43342,24.75064,,,,4334
1253,11307-1,"Kitseküla",,59.42029,24.74036,,,,1253
93449,11312-1,"Kitseküla",,59.42039,24.73866,,,,11
93450,11313-1,"Kitseküla",,59.41995,24.74018,,,,12
1244,11202-1,"Virmalise",,59.42130,24.73715,,,,1244
1297,12203-1,"A. Laikmaa",,59.43614,24.75755,,,,1297
1636,21209-2,"A. Laikmaa",,59.43642,24.75725,,,,1636
3603,21209-1,"A. Laikmaa",,59.43591,24.75726,,,,3603
10402,21221-1,"A. Laikmaa",,59.43509,24.75776,,,,10402
145914,21223-1,"A. Laikmaa",,59.43454,24.75786,,,,6056
1352,13101-1,"Hotell Olümpia",,59.43075,24.75874,,,,1352
1276,11901-1,"Kadriorg",,59.43864,24.78426,,,,1276
1277,11902-1,"L. Koidula",,59.43877,24.77712,,,,1277
148067,16305-1,"Ahtri",,59.44038,24.75490,,,,5786
148070,16211-1,"Siimeoni",,59.44018,24.75919,,,,5787
1325,12501-1,"Veerenni",,59.42576,24.74817,,,,1325
1243,11201-1,"Koidu",,59.42880,24.73160,,,,1243
1242,11103-1,"Tõnismägi",,59.43022,24.73629,,,,1242
1627,21201-1,"Estonia",,59.43459,24.75237,,,,1627
148997,21210-1,"Estonia",,59.43500,24.75295,,,,6215
1280,12001-1,"Vabaduse väljak",,59.43281,24.74713,,,,1280
1281,12002-1,"Vabaduse väljak",,59.43299,24.74721,,,,1281
1282,12002-2,"Vabaduse väljak",,59.43304,24.74642,,,,1282
1341,12901-1,"Bussijaam",,59.42683,24.77097,,,,1341
1342,12902-1,"Juhkentali",,59.42284,24.77095,,,,1342
14340,12907-1,"Juhkentali",,59.42126,24.76924,,,,14340
134188,12909-1,"Varre",,59.41906,24.75412,,,,4274
14384,12906-1,"Veskiposti",,59.42122,24.76395,,,,14384
14385,12908-1,"Veskiposti",,59.42085,24.76426,,,,14385
142534,11507-1,"Vesivärava",,59.43219,24.78226,,,,5926
142535,11508-1,"Vesivärava",,59.43253,24.78202,,,,5927
1257,11401-1,"Gonsiori",,59.43435,24.76788,,,,1257
1258,11402-1,"Gonsiori",,59.43398,24.76995,,,,1258
1314,12220-3,"Kivisilla",,59.43548,24.75959,,,,1314
1318,12305-1,"Kivisilla",,59.43535,24.75839,,,,1318
1319,12305-2,"Kivisilla",,59.43531,24.75867,,,,1319
